,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,2.0,1.0,530101.0,38.0,66.0,28.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,2.0,1.0,5.0,3.0,5.0,45.0,8.0,2.0,2.0,2.0,11300.0,0.0,0.0,2.0
1,1.0,1.0,534817.0,39.0,88.0,20.0,3.0,2.0,4.0,1.0,3.0,4.0,2.0,2.0,1.0,5.0,4.0,2.0,50.0,85.0,2.0,2.0,3.0,2208.0,0.0,0.0,2.0
2,2.0,1.0,530334.0,38.0,40.0,24.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,5.0,1.0,1.0,33.0,7.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0
3,1.0,9.0,5290409.0,39.0,164.0,84.0,4.0,1.0,6.0,2.0,2.0,4.0,4.0,1.0,2.0,5.0,3.0,4.0,48.0,7.0,3.0,5.0,2.0,2208.0,0.0,0.0,1.0
4,2.0,1.0,530255.0,37.0,104.0,35.0,3.0,2.0,6.0,2.0,3.0,3.0,2.0,2.0,1.0,5.0,3.0,4.0,74.0,7.0,2.0,2.0,2.0,4300.0,0.0,0.0,2.0
5,2.0,1.0,528355.0,38.0,64.0,24.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,5.0,3.0,3.0,45.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0
6,1.0,1.0,526802.0,38.0,48.0,16.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,5.0,3.0,5.0,37.0,7.0,2.0,2.0,1.0,3124.0,0.0,0.0,2.0
7,1.0,1.0,529607.0,38.0,60.0,24.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,1.0,5.0,3.0,4.0,44.0,8.0,2.0,2.0,2.0,2208.0,0.0,0.0,2.0
8,2.0,1.0,530051.0,38.0,80.0,36.0,3.0,4.0,3.0,1.0,4.0,4.0,4.0,2.0,1.0,5.0,3.0,5.0,38.0,6.0,2.0,2.0,3.0,3205.0,0.0,0.0,2.0
9,2.0,9.0,5299629.0,38.0,90.0,24.0,1.0,2.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,5.0,3.0,4.0,40.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0
