,Date,social_dst
0,2019-01-01,1.0
1,2019-01-02,1.0
2,2019-01-03,1.0
3,2019-01-04,1.0
4,2019-01-05,1.0
5,2019-01-06,1.0
6,2019-01-07,1.0
7,2019-01-08,1.0
8,2019-01-09,1.0
9,2019-01-10,1.0
10,2019-01-11,1.0
11,2019-01-12,1.0
12,2019-01-13,1.0
13,2019-01-14,1.0
14,2019-01-15,1.0
15,2019-01-16,1.0
16,2019-01-17,1.0
17,2019-01-18,1.0
18,2019-01-19,1.0
19,2019-01-20,1.0
20,2019-01-21,1.0
21,2019-01-22,1.0
22,2019-01-23,1.0
23,2019-01-24,1.0
24,2019-01-25,1.0
25,2019-01-26,1.0
26,2019-01-27,1.0
27,2019-01-28,1.0
28,2019-01-29,1.0
29,2019-01-30,1.0
30,2019-01-31,1.0
31,2019-02-01,1.0
32,2019-02-02,1.0
33,2019-02-03,1.0
34,2019-02-04,1.0
35,2019-02-05,1.0
36,2019-02-06,1.0
37,2019-02-07,1.0
38,2019-02-08,1.0
39,2019-02-09,1.0
40,2019-02-10,1.0
41,2019-02-11,1.0
42,2019-02-12,1.0
43,2019-02-13,1.0
44,2019-02-14,1.0
45,2019-02-15,1.0
46,2019-02-16,1.0
47,2019-02-17,1.0
48,2019-02-18,1.0
49,2019-02-19,1.0
50,2019-02-20,1.0
51,2019-02-21,1.0
52,2019-02-22,1.0
53,2019-02-23,1.0
54,2019-02-24,1.0
55,2019-02-25,1.0
56,2019-02-26,1.0
57,2019-02-27,1.0
58,2019-02-28,1.0
59,2019-03-01,1.0
60,2019-03-02,1.0
61,2019-03-03,1.0
62,2019-03-04,1.0
63,2019-03-05,1.0
64,2019-03-06,1.0
65,2019-03-07,1.0
66,2019-03-08,1.0
67,2019-03-09,1.0
68,2019-03-10,1.0
69,2019-03-11,1.0
70,2019-03-12,1.0
71,2019-03-13,1.0
72,2019-03-14,1.0
73,2019-03-15,1.0
74,2019-03-16,1.0
75,2019-03-17,1.0
76,2019-03-18,1.0
77,2019-03-19,1.0
78,2019-03-20,1.0
79,2019-03-21,1.0
80,2019-03-22,1.0
81,2019-03-23,1.0
82,2019-03-24,1.0
83,2019-03-25,1.0
84,2019-03-26,1.0
85,2019-03-27,1.0
86,2019-03-28,1.0
87,2019-03-29,1.0
88,2019-03-30,1.0
89,2019-03-31,1.0
90,2019-04-01,1.0
91,2019-04-02,1.0
92,2019-04-03,1.0
93,2019-04-04,1.0
94,2019-04-05,1.0
95,2019-04-06,1.0
96,2019-04-07,1.0
97,2019-04-08,1.0
98,2019-04-09,1.0
99,2019-04-10,1.0
100,2019-04-11,1.0
101,2019-04-12,1.0
102,2019-04-13,1.0
103,2019-04-14,1.0
104,2019-04-15,1.0
105,2019-04-16,1.0
106,2019-04-17,1.0
107,2019-04-18,1.0
108,2019-04-19,1.0
109,2019-04-20,1.0
110,2019-04-21,1.0
111,2019-04-22,1.0
112,2019-04-23,1.0
113,2019-04-24,1.0
114,2019-04-25,1.0
115,2019-04-26,1.0
116,2019-04-27,1.0
117,2019-04-28,1.0
118,2019-04-29,1.0
119,2019-04-30,1.0
120,2019-05-01,1.0
121,2019-05-02,1.0
122,2019-05-03,1.0
123,2019-05-04,1.0
124,2019-05-05,1.0
125,2019-05-06,1.0
126,2019-05-07,1.0
127,2019-05-08,1.0
128,2019-05-09,1.0
129,2019-05-10,1.0
130,2019-05-11,1.0
131,2019-05-12,1.0
132,2019-05-13,1.0
133,2019-05-14,1.0
134,2019-05-15,1.0
135,2019-05-16,1.0
136,2019-05-17,1.0
137,2019-05-18,1.0
138,2019-05-19,1.0
139,2019-05-20,1.0
140,2019-05-21,1.0
141,2019-05-22,1.0
142,2019-05-23,1.0
143,2019-05-24,1.0
144,2019-05-25,1.0
145,2019-05-26,1.0
146,2019-05-27,1.0
147,2019-05-28,1.0
148,2019-05-29,1.0
