,0
0,강화군
1,옹진군
2,수원시
3,성남시
4,의정부시
5,안양시
6,부천시
7,광명시
8,평택시
9,동두천시
10,안산시
11,고양시
12,과천시
13,구리시
14,남양주시
15,오산시
16,시흥시
17,군포시
18,의왕시
19,하남시
20,용인시
21,파주시
22,이천시
23,안성시
24,김포시
25,화성시
26,광주시
27,양주시
28,포천시
29,여주시
30,연천군
31,가평군
32,양평군
33,춘천시
34,원주시
35,강릉시
36,동해시
37,태백시
38,속초시
39,삼척시
40,홍천군
41,횡성군
42,영월군
43,평창군
44,정선군
45,철원군
46,화천군
47,양구군
48,인제군
49,고성군
50,양양군
51,청주시
52,충주시
53,제천시
54,보은군
55,옥천군
56,영동군
57,증평군
58,진천군
59,괴산군
60,음성군
61,단양군
62,천안시
63,공주시
64,보령시
65,아산시
66,서산시
67,논산시
68,계룡시
69,당진시
70,금산군
71,부여군
72,서천군
73,청양군
74,홍성군
75,예산군
76,태안군
77,전주시
78,군산시
79,익산시
80,정읍시
81,남원시
82,김제시
83,완주군
84,진안군
85,무주군
86,장수군
87,임실군
88,순창군
89,고창군
90,부안군
91,목포시
92,여수시
93,순천시
94,나주시
95,광양시
96,담양군
97,곡성군
98,구례군
99,고흥군
100,보성군
101,화순군
102,장흥군
103,강진군
104,해남군
105,영암군
106,무안군
107,함평군
108,영광군
109,장성군
110,완도군
111,진도군
112,신안군
113,포항시
114,경주시
115,김천시
116,안동시
117,구미시
118,영주시
119,영천시
120,상주시
121,문경시
122,경산시
123,군위군
124,의성군
125,청송군
126,영양군
127,영덕군
128,청도군
129,고령군
130,성주군
131,칠곡군
132,예천군
133,봉화군
134,울진군
135,울릉군
136,창원시
137,진주시
138,통영시
139,사천시
140,김해시
141,밀양시
142,거제시
143,양산시
144,의령군
145,함안군
146,창녕군
147,남해군
148,하동군
149,산청군
150,함양군
151,거창군
152,합천군
153,제주시
154,서귀포시
155,강화
156,옹진
157,수원
158,성남
159,의정부
160,안양
161,부천
162,광명
163,평택
164,동두천
165,안산
166,고양
167,과천
168,구리
169,남양주
170,오산
171,시흥
172,군포
173,의왕
174,하남
175,용인
176,파주
177,이천
178,안성
179,김포
180,화성
181,광주
182,양주
183,포천
184,여주
185,연천
186,가평
187,양평
188,춘천
189,원주
190,강릉
191,동해
192,태백
193,속초
194,삼척
195,홍천
196,횡성
197,영월
198,평창
199,정선
200,철원
201,화천
202,양구
203,인제
204,고성
205,양양
206,청주
207,충주
208,제천
209,보은
210,옥천
211,영동
212,증평
213,진천
214,괴산
215,음성
216,단양
217,천안
218,공주
219,보령
220,아산
221,서산
222,논산
223,계룡
224,당진
225,금산
226,부여
227,서천
228,청양
229,홍성
230,예산
231,태안
232,전주
233,군산
234,익산
235,정읍
236,남원
237,김제
238,완주
239,진안
240,무주
241,장수
242,임실
243,순창
244,고창
245,부안
246,목포
247,여수
248,순천
249,나주
250,광양
251,담양
252,곡성
253,구례
254,고흥
255,보성
256,화순
257,장흥
258,강진
259,해남
260,영암
261,무안
262,함평
263,영광
264,장성
265,완도
266,진도
267,신안
268,포항
269,경주
270,김천
