,content,date,like,tags,name,overlap,place
0,"속초_파도의무늬오션뷰 감성 에어비앤비""파도의무늬""'파도의무늬'는물결이 일렁이고 윤슬이 반짝거리며파도가 철썩철썩 치는다양한 모습의 파도의 무늬를 즐길 수 있어요.들려오는 시원한 파도소리를가만히 눈을 감고 듣다보면많은 생각과 많은 계획을 잠시 내려두고느긋하게 머리를 식힐 수 있어요 :)숙소 내부는세개의 창으로 엿보이는 푸른 파도의 무늬와오후부터 저녁까지 긴 시간 들어오는따뜻한 영랑호의 햇살까지 그대로 담은 공간으로바다가 보이는 오션뷰에요 :)객실과 욕실, 주방으로 분리되어있고스마트빔과 블루투스 스피커 이 외에도드라이어와 다리미도 구비되어 있어요.주방에서 음식 조리가 가능하지만환기에 제한이 있어냄새가 많이 나는 요리는 삼가 부탁드려요 :)눈을 감고 파도의 소리를 들으며안티 스트레스 티와 함께 복잡한 마음을 해소해보세요.—————————————————🏡'속초 파도의무늬'🚩주소👉강원도 속초시👉정확한 주소는 예약 후 표시📆예약문의airbnb.co.kr/rooms/43537659⏰체크인 : PM 16:00⏰체크아웃 : PM 12:00📍가격정보👉비수기 평일 기준 약 170,000📸Photo by @hyoyonee @kimssoyeoni @seony5h전국 감성숙소는 #데일리감성속초로 떠난다면 #데일리감성_속초강원도 여행은 #데일리감성_강원—————————————————",2021-09-06,39,"['#데일리감성속초로', '#데일리감성_속초강원도', '#데일리감성_강원—————————————————']",파도의무늬,1,
1,"강릉_스테이 시호일시간의 흔적을 담은 감성숙소""스테이 시호일""'스테이 시호일'은60년대 강릉의 번화가로 유명했던남문동에 위치해 있으며시간의 흔적을 품은 주택과상점들이 많은 동네에요 :)상점과 주택가가 만나는 지점에조용히 자리하고 있으며오래된 주택의 형태는 유지하면서내부는 미니멀 베이스에 빈티지한 요소를 입혀시호일만의 독특한 분위기를느낄 수 있어요.대관령 물줄기가 바다까지 흘러가는남대천이 있어 계곡에서 내려온 물고기와바다에서 밀려온 물고기, 각종 새들을눈 앞에서 볼 수 있어요 :)따스한 아침 햇살을 맞으며 일어나 바로 앞의 남대천을 따라 산책을 즐기고동네의 아기자기한 가게와 카페를 구경하며사랑하는 사람들과 행복한 시간을 보내보세요 :)—————————————————🏡'강릉 스테이 시호일'🚩주소👉강릉시 경강로 2046번길 19-3📆예약문의👉stayfolio.com/findstay/stay-sihoil⏰체크인 : PM 16:00⏰체크아웃 : AM 10:00📍가격정보👉비수기 평일 기준 150,000📸Photo by @bo___oy @heee.sh전국 감성숙소는 #데일리감성강릉으로 떠난다면 #데일리감성_강릉강원도 여행은 #데일리감성_강원————————————————— #스테이시호일 #강릉스테이 #강릉감성숙소 #강릉감성여행 #강릉숙소추천 #강릉숙소강추 #강릉예쁜숙소 #강원도감성숙소 #강릉숙박추천",2021-09-03,12,"['#데일리감성강릉으로', '#데일리감성_강릉강원도', '#데일리감성_강원—————————————————', '#스테이시호일', '#강릉스테이', '#강릉감성숙소', '#강릉감성여행', '#강릉숙소추천', '#강릉숙소강추', '#강릉예쁜숙소', '#강원도감성숙소', '#강릉숙박추천']",스테이 시호일,1,
2,"제주_까만돌멩이구좌읍 조식주는 예쁜 숙소""까만돌멩이""'까만돌멩이'는가족 및 커플 또는 1인 여행객이이용할 수 있는 원룸형 호텔식 민박이에요.제주의 옛 돌집을 살려 리모델링한힐링 공간으로 조용한 바닷가 마을에위치해있고 바다 접근성이 좋아주변 해변을 마음껏 즐길 수 있어요 :)주차시설이 구비되어있고기본 세면도구는 제공되며객실마다 와이파이 설치도 되어있어요.객실에서는 취사가 불가하지만조식을 제공하고 별도의 카페가 있어편하게 이용할 수 있답니다 :)—————————————————🏡'제주 까만돌멩이'🚩주소👉제주시 구좌읍 계룡길 32📆예약문의👉page.yapen.co.kr/33579⏰체크인 : PM 16:00⏰체크아웃 : AM 10:00📍가격정보👉비수기 평일 기준 118,000📸Photo by @loveyou_mini @yeou_roa전국 감성숙소는 #데일리감성제주도 여행은 #데일리감성_제주—————————————————",2021-09-03,33,"['#데일리감성제주도', '#데일리감성_제주—————————————————']",까만돌멩이,1,제주특별자치도 제주시 구좌읍 계룡길 32
3,"단양_권장사양인스타감성 가득한 독채 숙소""권장사양""'권장사양'은 자연경관으로 둘러쌓여 있고마당이 있어 자연속에서힐링하기에 좋은 숙소에요 :)숙소내부는 LP판과 스피커 등감성 넘치는 소품으로 꾸며져있으며우드 테이블과 조명의 조화가잘 어우러져 따뜻한 느낌이 들어요.주방도 꽤 넓은 편으로식기도 갖춰져있어 간단히 요리하기에도 좋아요.숙소 내부에서 보는창 밖 풍경이 매우 매력적이고뒷마당에서는 바베큐를 즐길 수 있어요.한적하고 아늑한 혼자만의 쉘터에서새가 지저귀는 소리를 들으며낮잠을 자거나 산책을 즐겨보세요 :)—————————————————🏡'단양 권장사양'🚩주소👉충청북도 단양👉정확한 위치는 예약 후 표시📆예약문의👉airbnb.co.kr/rooms/50430385⏰체크인 : PM 15:00⏰체크아웃 : AM 11:00📍가격정보👉비수기 평일 기준 204,000📸Photo by @daily_yam_seoul @pureum_jin @rhkd11wow전국 감성숙소는 #데일리감성단양으로 떠난다면 #데일리감성_단양충청북도 여행은 #데일리감성_충북—————————————————",2021-09-02,36,"['#데일리감성단양으로', '#데일리감성_단양충청북도', '#데일리감성_충북—————————————————']",권장사양,1,
4,"강릉_라온가따뜻한 느낌의 힐링 감성숙소""라온가""'라온가'는 주택을 개조한 숙소이며'라온'은 순 우리말로 '즐거운' 이라는뜻을 가지고 있다고 해요 :)라온가는 강릉 교동 조용한 주택가에위치해 있는 언덕 위 이층집 숙소에요.90년대 옛 주택을 리모델링하여만든 숙소로 1층 전체를사용할 수 있답니다.준비되어있는 책과 음악그리고 은은한 조명과 함께완전한 휴식을 취할 수 있어요.라온가 숙소 뒤 쪽으로는 삼림욕을 할 수 있는길이 있어 산책을 나가기에도 좋아요 :)—————————————————🏡'강릉 라온가'🚩주소👉강원도 강릉시 강릉대로 121번길 37-4📆예약문의👉stayfolio.com/findstay/raonga⏰체크인 : PM 15:00⏰체크아웃 : AM 11:00📍가격정보👉비수기 평일 기준 250,000📸Photo by @bbibbi_baek k @ye5ni_전국 감성숙소는 #데일리감성강릉으로 떠난다면 #데일리감성_강릉강원도 여행은 #데일리감성_강원—————————————————",2021-09-01,24,"['#데일리감성강릉으로', '#데일리감성_강릉강원도', '#데일리감성_강원—————————————————']",라온가,1,
5,"태안_티니하우스아기자기한 느낌이 가득한""티니하우스""'티니하우스'는 내부 인테리어를아기자기한 느낌가득한 소품으로꽉 채워놓은 태안의 감성숙소에요 :)티니하우스는 스타방, 캔디방, 러블리방총 3개의 방으로 운영되고 있어요.곳곳이 아기자기한 소품과 예쁜 색상으로꾸며져있어 사진찍기에 완벽한 감성숙소이며한적하고 조용한 곳에 위치하고 있어조용하게 힐링을 즐기고 오기에 딱 좋아요 :)펜션 앞에 같은 느낌으로 꾸며진카페도 운영되고 있으니꼭 방문해보시는걸 추천드려요.펜션자체가 매우 깔끔하며위생적으로 운영되고 있답니다 :)—————————————————🏡'태안 티니하우스'🚩주소👉충남 태안군 원북면 옥파로 977📆예약문의👉blog.naver.com/tini_house/⏰체크인 : PM 15:00⏰체크아웃 : AM 11:00📍가격정보👉비수기 평일 기준 80,000📸Photo by @younga0819 @eunjeong_91전국 감성숙소는 #데일리감성충청남도 여행은 #데일리감성_충남—————————————————",2021-08-31,15,"['#데일리감성충청남도', '#데일리감성_충남—————————————————']",티니하우스,1,
6,"군산_폴인플랜트빈티지감성 넘치는 군산 감성숙소""폴인플랜트""군산 폴인플랜트는거실겸 다이닝룸에 4~5인용의넓은 식탁과 쇼파, 흔들의자턴테이블과 LP판, 보드게임까지 다양하게 구비되어 있어 숙소에서만하루를 보내기에도 충분해요 :)인테리어 하나하나 너무 예쁘게꾸며져있고 여행을 다니며 공간에서위로를 받고 챙김을 받는다는 느낌을간직하고 싶어 만들어진 공간이랍니다.거실에는 LP플레이어가 있어레트로 느낌이 더욱 강하며LP사용법도 적혀있으니 꼭 사용하셔서 감성적인 분위기를 만들어보세요 :)침실은 화이트톤과 우드톤으로아늑하게 꾸며져있고또 다른 방에서는 빔프로젝터를 이용하여넷플릭스와 영화를 볼 수 있어요.주방이 특히나 예쁘며 기본 조미료와주방도구 및 식기류도 구비되어있으니직접 요리를 해드셔도 좋을 듯 하네요 :)—————————————————🏡'군산 폴인플랜트'🚩주소👉전라북도 군산👉정확한 주소는 예약 후 표시📆예약문의👉www.airbnb.co.kr/rooms/44250659⏰체크인 : PM 15:00⏰체크아웃 : PM 12:00📍가격정보👉비수기 평일 기준 110,000📸Photo by @_kheeee_j @0105.yeye전국 감성숙소는 #데일리감성군산으로 떠난다면 #데일리감성_군산전라북도 여행은 #데일리감성_전북—————————————————",2021-08-31,46,"['#데일리감성군산으로', '#데일리감성_군산전라북도', '#데일리감성_전북—————————————————']",폴인플랜트,1,
7,"제주_하도리보통날돌담까지 예쁜 제주 감성스테이""하도리보통날""하도리보통날의 사장님은여행을 왔기에 특별한 날이겠지만그 날이 보통의 날이 될 수도 있다고생각하길 원하세요.하도리보통날에서 여유롭고행복한 시간을 느끼며 그 시간이보통의 날이 되어 현실로 돌아간 후에도그 여운을 간직하시기를 바란다고 하십니다 :)하도리보통날은한 지붕 아래 두 공간인방 하나와 방 둘로 이루어진프라이빗한 독채 민박 숙소에요.성인 2인 전용 숙소이며추가 인원은 받지않으니 참고해주세요 :)숙소 내부는 소품 하나하나감성돋는 소품들이 배치되어있어사진찍기 매우 좋으며숙소 뒷길에는 작고 예쁜 유채밭이 있어산책하기에도 너무 좋아요.조식은 제공되지만취사시설이 없는점 참고해주세요 :)—————————————————🏡'제주 하도리보통날'🚩주소👉제주도 제주시 구좌읍 하도1길 33📆예약문의👉숙박일, 방 선택 후👉010-8507-9314 문자문의⏰체크인 : PM 16:00⏰체크아웃 : AM 10:30📍가격정보👉비수기 평일 기준 110,000📸Photo by @soovely._.12 @hyerinining전국 감성숙소는 #데일리감성제주도로 떠난다면 #데일리감성_제주—————————————————",2021-08-30,60,"['#데일리감성제주도로', '#데일리감성_제주—————————————————']",하도리보통날,1,제주특별자치도 제주시 구좌읍 하도1길 33
8,"양양_스테이와봄양양 프라이빗 감성 숙소""스테이와봄""스테이와봄은 숙소 안에 카페도같이 운영을 하고 있어 일찍 도착하더라도 커피 한 잔 마시며여유롭게 기다릴 수 있어요 :)감성적이라는 말이 너무나도잘 어울리는 숙소로총 5개의 방만 운영하고 있어조용하고 프라이빗하게 휴식을취하고 올 수 있어요.야외 잔디에는 사진찍기 좋은비누방울과 삼각대가 있으니잔디에서 인생샷을 찍어보세요 :)숙소 내부는 매우 깔끔하며내추럴한 소품과 가구가편안하고 정갈한 분위기를 선사하고안에서 보는 창 밖 뷰도 너무 예뻐요.저녁에는 빔프로젝터를 이용해야외에서 영화를 즐길 수도 있답니다.조식으로는 샌드위치와 과일, 요거트를준비해주시는데 스테이와봄은조식 맛집으로 유명하니 꼭 드셔보세요 :)—————————————————🏡'양양 스테이와봄'🚩주소👉강원 양양군 강현면 주청리 52-52📆예약문의👉카톡ID : wabom⏰체크인 : PM 15:00⏰체크아웃 : AM 11:00📍가격정보👉비수기 평일 기준 140,000📸Photo by @hn_kim27 @a__chu.n전국 감성숙소는 #데일리감성양양으로 떠난다면 #데일리감성_양양강원도 여행은 #데일리감성_강원—————————————————",2021-08-30,80,"['#데일리감성양양으로', '#데일리감성_양양강원도', '#데일리감성_강원—————————————————']",스테이와봄,1,
9,"제주_여전히제주제주 동쪽 감성숙소""여전히제주""여전히제주는숙소 2동으로 운영이 되어프라이빗하게 시간을 보낼 수 있어요.내부는 2동이 같은 구조이며소품만 약간 차이가 있어요.최대 3인까지 숙박이 가능하며애완동물 동반은 불가합니다 :)차로 5분거리에 제주 바다가 있어바다를 보러가기에도 좋은 숙소에요.거실에는 따사로운 볕이 들고침실, 거실, 주방공간이 분리되어 있으며작은 테라스공간도 있어요.숙소 내부는 작고 아담하지만화이트톤과 우드톤으로 깔끔하게디자인 되어있어요.숙소 앞뒤로는 밭과 오름이 있어제주를 오롯이 느끼기에도 좋아요 :)—————————————————🏡'제주 여전히제주'🚩숙소위치👉제주 제주시 구좌읍 일주동로 3010-42📆예약문의👉map.naver.com/v5/entry/place/1245927606⏰체크인 : PM 16:30⏰체크아웃 : AM 11:00📍가격정보👉비수기 평일 기준 150,000원👉2일 이상 숙박시 2일차 20,000원 할인📸Photo by @aro_om2 m2 @_sol_____ @luvly_lime————————————————— 전국 감성숙소는 #데일리감성제주도로 떠난다면 #데일리감성_제주",2021-08-29,80,"['#데일리감성제주도로', '#데일리감성_제주']",여전히제주,1,
